"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-03-02","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-03-03","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-03-04","74"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-03-06","72"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-03-07","73"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-03-08","73"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-03-09","68"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-03-10","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-03-11","73"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-03-12","65"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-03-13","65"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-03-14","69"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-03-15","75"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-03-16","71"
"RWM00064387","KIGALI, RW","-1.969","30.139","1481.0","1996-03-17","66"
